2011/4/14
hh:mm:ss,mode0,mode1,mod2
0:0:0,-0.9568419309895752,-0.6748389753486534,0.7719087910637953
1:0:0,-1.035953374353969,-0.5534736591778682,0.5337500906016693
2:0:0,-1.0091928230084788,-0.4420665656840824,0.19707270175432048
3:0:0,-0.9844177388911736,-0.3237477522905574,-0.12493914808864683
4:0:0,-0.9815781382301038,-0.16277302602986127,-0.5060661234404906
5:0:0,-0.8600403406590633,-0.040150120912811164,-0.7336702561335428
6:0:0,-0.8509013890266861,0.10648689526018129,-0.8678640143949294
7:0:0,-0.7543828715812044,0.24000592845874028,-0.946833012635062
8:0:0,-0.6894805253808665,0.39647850145485874,-0.9456049256760631
9:0:0,-0.5427381870110547,0.5669750905400841,-0.8235130208225505
10:0:0,-0.44309566963149777,0.6269855602481182,-0.6016890700397235
11:0:0,-0.3206325982688832,0.7757738366277314,-0.3428248586450842
12:0:0,-0.2588586325921589,0.8862932816393244,0.0054420027325412295
13:0:0,-0.058036153015035556,0.8774675215686963,0.31119526207330456
14:0:0,0.03666829714535202,0.9791313629661664,0.5823370014133219
15:0:0,0.15829092384670357,1.0360759118046137,0.8290935446374359
16:0:0,0.3018037201138135,1.0449507661212158,0.9611744813614633
17:0:0,0.3680550147185467,1.0031520364810935,1.034251170158245
18:0:0,0.46297237726868334,0.9983688427109629,0.913131329061616
19:0:0,0.6025223781806679,0.9055158251418585,0.680562968343756
20:0:0,0.732976568748995,0.8485862919405766,0.47693289738628325
21:0:0,0.7956393356378042,0.7346833329168625,0.18964880523779765
22:0:0,0.907228662160028,0.6996962576844264,-0.19560617093496716
23:0:0,0.9303753132014618,0.5509018299232072,-0.4556345203390452
