2011/4/13
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.947235377955213,0.4416671317799832,0.9152294696002655
1:0:0,0.9591803348122098,0.11920113730226475,1.0247106617286992
2:0:0,0.8714024719872976,-0.26203342657760614,1.0239614681710039
3:0:0,0.857156309532167,-0.5291359108949977,0.9763034982191529
4:0:0,0.71780134828519,-0.7499402898079065,0.8306234542488915
5:0:0,0.6986982308133292,-0.9565065107983383,0.7665806905951481
6:0:0,0.5832460522331443,-0.9585425102353393,0.5816585125138742
7:0:0,0.3740283005991197,-0.9592130800376556,0.46369775070916314
8:0:0,0.2938306100848724,-0.8007783787879641,0.2788655039958703
9:0:0,0.16931337734824445,-0.5817097728345987,0.03750257771699609
10:0:0,-0.05278693460732789,-0.21265273304619348,-0.1214638616101909
11:0:0,-0.1479884836174772,0.09304589955370177,-0.289212740418946
12:0:0,-0.24779407326322211,0.3741641763176604,-0.5164285056781723
13:0:0,-0.46065367844532945,0.6654218401955277,-0.7183356600383043
14:0:0,-0.5930867971579097,0.855847239254965,-0.792030259794644
15:0:0,-0.7065052402051802,0.9649018220871071,-0.9216611281580462
16:0:0,-0.7130913589191348,0.9524625005719994,-0.9317758085183099
17:0:0,-0.8315973301492156,0.8556218369947974,-1.0374464808328068
18:0:0,-0.8628634592893755,0.616477416089575,-1.0345227623588844
19:0:0,-0.9547326183089466,0.4090607534162162,-0.9487113531574547
20:0:0,-0.981893325650559,0.013327621149234699,-0.838542503581023
21:0:0,-1.0480748475379464,-0.27006673306251716,-0.7302842899625233
22:0:0,-0.9926242509264356,-0.5829651356603753,-0.5262821880955508
23:0:0,-0.9810306749104125,-0.865525333263882,-0.3557268865500634
