2011/4/15
hh:mm:ss,mode0,mode1,mod2
0:0:0,-0.016837428474352555,-0.9348507619634814,0.5491748144337414
1:0:0,0.09793099724178972,-0.9307037349004563,0.2020242920498348
2:0:0,0.2547910828793023,-1.0408419983539923,-0.07297689596103264
3:0:0,0.33524459305172044,-1.031888275975921,-0.3773872868946469
4:0:0,0.4131546353138222,-0.9520591877612493,-0.6752010269903626
5:0:0,0.5285713650800581,-0.8826657907025665,-0.845509470467907
6:0:0,0.5788776019767855,-0.8782957044971225,-0.9620904706838185
7:0:0,0.704124866477881,-0.7353176196587973,-1.004788117924391
8:0:0,0.7398955635129045,-0.6620648506389397,-0.8776239542585199
9:0:0,0.8690462458231861,-0.511463787537504,-0.6432931436333713
10:0:0,0.8563452468732307,-0.31123131182090924,-0.3330969589587924
11:0:0,0.9388975518962246,-0.12065424768651378,-0.056934031369309065
12:0:0,0.9579266513664451,0.03310926989640228,0.2550341383822249
13:0:0,1.0015658262272233,0.13412290906485302,0.528462888759341
14:0:0,0.9728343440044379,0.31842435276888303,0.8503913022579077
15:0:0,1.0349352292400629,0.5020229587135773,0.9709677091618214
16:0:0,0.9785770271570864,0.6205390088427944,0.9864688162621948
17:0:0,0.9434084417100368,0.7786093896922341,0.900162658709142
18:0:0,0.937343157371059,0.8396897673093334,0.7534461517650901
19:0:0,0.8202447101249266,0.9370836198859789,0.5059399031398276
20:0:0,0.7509792920671139,1.005212831523675,0.1528096116651834
21:0:0,0.6914354089364988,0.9729247092086923,-0.11221442338364505
22:0:0,0.6413108052384625,0.9889638939860205,-0.43864296352067805
23:0:0,0.5683598054624384,0.9413624297821218,-0.745374869014288
