2011/4/7
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.8266367792377435,-0.9405482931939236,0.3893174298952244
1:0:0,0.8852617836292982,-1.0294931765457038,0.33170279369434674
2:0:0,1.0175174002349419,-0.9579944425746492,0.17845927516245313
3:0:0,0.992745952719392,-0.9393254730894485,0.08055360239982119
4:0:0,0.9381525756173179,-0.8419539174572104,-0.05184894921639796
5:0:0,0.9352033978926984,-0.8042572883136941,-0.10983667271426645
6:0:0,0.8283256716233458,-0.7051409402861092,-0.23044600227777107
7:0:0,0.6382118429061048,-0.4992122276144605,-0.33279302234492886
8:0:0,0.4762654436761128,-0.4119426617711356,-0.4938613731508036
9:0:0,0.36922813064441995,-0.23668708691931356,-0.5810895882466869
10:0:0,0.1682982382211182,-0.09406336476081983,-0.6292885456668761
11:0:0,-0.10463546898804617,0.0709273239221002,-0.7380985924819671
12:0:0,-0.3043839466854753,0.3205282809753186,-0.7459495398720484
13:0:0,-0.47361668564886683,0.425458873030012,-0.837034874615558
14:0:0,-0.6176753018313469,0.6109980974083424,-0.9432864049991713
15:0:0,-0.795366803522457,0.7491244437176328,-0.9194487297442532
16:0:0,-0.882311088587928,0.7991414179763078,-0.9643197315682752
17:0:0,-0.9336313145152574,0.8660062054697679,-0.9870513158135706
18:0:0,-1.0065933167745544,0.9337264901753988,-0.9707614932721127
19:0:0,-0.9656564744374243,1.0183116851559522,-1.035932217592328
20:0:0,-0.9881822694017155,0.9876712975825825,-0.9611007114412932
21:0:0,-0.8647486391343461,1.006883265264707,-0.9778338237255184
22:0:0,-0.8126496283923541,0.9121222505131665,-0.9246182763268667
23:0:0,-0.6278168615135813,0.8174141011532554,-0.8706676611987897
