2011/4/9
hh:mm:ss,mode0,mode1,mod2
0:0:0,-0.9201146574323511,0.37834583563606633,-0.7212963443431778
1:0:0,-0.948851953847659,0.29691714132850244,-0.829120605033293
2:0:0,-1.0026488655638812,0.2392819278496629,-0.874487739473506
3:0:0,-1.0240790819848704,0.12680643524383578,-0.985588529093496
4:0:0,-0.9604128300785801,0.00029845816632332114,-0.9840710199759275
5:0:0,-0.963435736085945,-0.08260793515392567,-0.9765969633292024
6:0:0,-0.8783604474644041,-0.21271635585384618,-1.0034550591103442
7:0:0,-0.7321036480354302,-0.34046158466070325,-1.0007256571603806
8:0:0,-0.6428782952787159,-0.47837128077667923,-1.008563898052197
9:0:0,-0.4964138617817419,-0.5701418961309899,-0.9198667543921616
10:0:0,-0.29240965156877097,-0.6268823598793748,-0.8573563030781177
11:0:0,-0.176141070010538,-0.7423116463655915,-0.8180047586480171
12:0:0,0.011889521379667945,-0.7877826857002597,-0.7514046011541848
13:0:0,0.11756484626263089,-0.8094217357537642,-0.6256253414708233
14:0:0,0.33836771510472646,-0.8930108303477479,-0.49575512166809654
15:0:0,0.4699666361447004,-0.913569963943394,-0.34874215844393963
16:0:0,0.623654484725552,-1.0119163023772173,-0.2687089869804137
17:0:0,0.7386845825997654,-0.9797675696531153,-0.16585335272059198
18:0:0,0.8006168547810947,-1.0081335162643768,-0.07189882459653335
19:0:0,0.8944134610779404,-0.9526014713170181,0.0987433151931934
20:0:0,0.9909271557409869,-0.9854409522906421,0.16873203224064914
21:0:0,1.0455932928364613,-0.8950689811783459,0.3350869229369047
22:0:0,0.988586837570266,-0.9031127466887506,0.40199811170964483
23:0:0,1.0146718707298952,-0.8465879992264229,0.5193964980835836
