2011/4/10
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.5910814580543601,-0.8236126123336207,-0.9919311909458144
1:0:0,0.3331374584529154,-0.5809758687699491,-0.9169640080409512
2:0:0,0.17112914651584887,-0.31916677576430014,-0.9211702034123392
3:0:0,-0.001991514089658846,0.043883866536384,-0.8285132096753633
4:0:0,-0.2034717458160806,0.34415556471951586,-0.7006098794221923
5:0:0,-0.4103170711869223,0.5982178353661245,-0.662107461894891
6:0:0,-0.5496496156833729,0.8201678786458151,-0.5514894646660633
7:0:0,-0.7813339814696868,0.9338203567113379,-0.4480178059386751
8:0:0,-0.840512379845283,0.973664068045388,-0.35733328580916135
9:0:0,-0.8924839242883316,0.8648764347961131,-0.3140674958918878
10:0:0,-1.0380966288729327,0.7592857736912717,-0.14305833451101385
11:0:0,-0.9830862799633374,0.4627065461065898,-0.08372072450757163
12:0:0,-0.9903867550238618,0.15422924191196843,0.06300427417354344
13:0:0,-0.9128561610588113,-0.2306538382872468,0.16266085120401763
14:0:0,-0.8176585693443045,-0.49015784657276007,0.2759635824365814
15:0:0,-0.6210756360989459,-0.7604762843341928,0.41013071816634694
16:0:0,-0.45053402869556985,-0.9509670245394011,0.4276733388956312
17:0:0,-0.3523770296494826,-1.0306665650353244,0.5671944321107477
18:0:0,-0.08300747518061358,-0.9416497745130005,0.6650983747718101
19:0:0,0.08844412207692254,-0.8632061892415469,0.7412479010491133
20:0:0,0.24883428736852578,-0.5714545493829044,0.7623690357044114
21:0:0,0.4579085354915536,-0.3257518344534363,0.8725038014179272
22:0:0,0.6798539460642085,0.07301155024576628,0.8793097933169062
23:0:0,0.7622027106873547,0.34825570495311087,1.0010208933617233
