2011/4/4
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.2712153997821452,-0.8669553794310547,-0.8790258510809287
1:0:0,0.4244179518943801,-1.0078126449059095,-0.9840558011171208
2:0:0,0.5087170393543599,-0.9943323113675389,-0.8193690302575459
3:0:0,0.6766649239122737,-0.9251636284047388,-0.4555254362421754
4:0:0,0.7500438652461834,-0.8600210134960453,0.01184178906871748
5:0:0,0.8427485743055573,-0.7188935774544312,0.4832705806456683
6:0:0,0.9261368478583974,-0.45889411645934475,0.8173501212630887
7:0:0,0.9962197047315624,-0.20953664832374225,1.0113757745330576
8:0:0,1.03040149791215,0.025565362316829612,0.9087375981638095
9:0:0,1.0300045213146845,0.2562975638480889,0.6225533744067889
10:0:0,0.9570794840503086,0.511147624411915,0.11550499435188263
11:0:0,1.0040686188218293,0.7185918906629402,-0.3080006353340539
12:0:0,0.9408751498030421,0.8866135808651661,-0.7632711911806516
13:0:0,0.8024227281004401,0.9595667021539285,-0.9966154871336168
14:0:0,0.715246096920778,0.968370601500951,-0.9556404726107972
15:0:0,0.662166847210194,0.9489790785338423,-0.7436399394806517
16:0:0,0.537186519466326,0.9446297094772494,-0.24603977894375598
17:0:0,0.40125188467061873,0.8272080968494324,0.2320032069815714
18:0:0,0.24460437594128662,0.6333500887412409,0.6880197574448214
19:0:0,0.14134076995090897,0.4012737215264779,0.965464495191334
20:0:0,-0.01666793957615678,0.15109404330053824,0.9863934623593132
21:0:0,-0.1694713640324292,-0.1537719290983116,0.7818128314863548
22:0:0,-0.23469438256024747,-0.3318013754476879,0.41603432585811045
23:0:0,-0.418949578148987,-0.5399616779559369,-0.05874503145274878
