2011/4/19
hh:mm:ss,mode0,mode1,mod2
0:0:0,-0.6229227560446552,-0.810351257595311,-0.8872355849047322
1:0:0,-0.4738578911347534,-0.707993460734465,-0.6474231611439918
2:0:0,-0.3751333580831375,-0.6124721308463793,-0.4395626865175217
3:0:0,-0.26385074811436576,-0.47202986966284743,-0.28052688702371414
4:0:0,-0.032742638109133124,-0.36712459984756823,0.01716979304509657
5:0:0,0.07227445291531336,-0.1747963933517815,0.26173559252384504
6:0:0,0.22990373912656673,0.03323608771686675,0.4547710893172447
7:0:0,0.38656568204220326,0.16074529263231715,0.7284666948540948
8:0:0,0.5674392347362547,0.288299051143238,0.8776603896388082
9:0:0,0.6590181633978742,0.5275148197750026,0.9983921920733314
10:0:0,0.7882931799993551,0.6224006212689517,0.9503427794720889
11:0:0,0.8520519121531016,0.7446961995977013,0.9966014795311838
12:0:0,0.9681091335969432,0.8267449475569567,0.9408750449235614
13:0:0,1.0288259477250186,0.8860550928119824,0.8035406156333648
14:0:0,0.9598885672336761,0.9910630908957037,0.6327975913214157
15:0:0,0.9649999389473981,1.0360098981799415,0.3981073991480591
16:0:0,0.9362862607036833,0.9856793646998347,0.18584991792832523
17:0:0,0.8659721032771949,0.9694822063161577,-0.07541029101571176
18:0:0,0.7902112885899768,0.9533598781942958,-0.3425540805503335
19:0:0,0.624542464240911,0.8034576528912243,-0.5507556677321954
20:0:0,0.452752526096664,0.6771329216632332,-0.7558393132270401
21:0:0,0.3401128179449375,0.5680957526523926,-0.881151643376955
22:0:0,0.16573741260933228,0.43993454567728807,-0.999775827987888
23:0:0,0.03200911555157632,0.28438985758503915,-0.9655658948431961
