2011/4/17
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.29424386365214444,0.15138997462451648,-0.8173656005685443
1:0:0,0.42623777544717145,-0.08857247028749764,-0.662674873466009
2:0:0,0.579999149535227,-0.22546077870503078,-0.5215647092453926
3:0:0,0.612071732214938,-0.470802137867385,-0.2203512493112587
4:0:0,0.7712186936445885,-0.5868877296917767,0.04809772432619335
5:0:0,0.8803693408493661,-0.7630988967764596,0.2537921057050347
6:0:0,0.9316177728322297,-0.8763843078812712,0.5103770931758066
7:0:0,0.9206184401015312,-0.9254535196964856,0.634308146939167
8:0:0,1.0349411793592047,-1.0167670663724977,0.8670675270361418
9:0:0,1.0356548360848215,-0.9828533530973602,0.9218455090545066
10:0:0,0.9676251959339296,-0.9097911936601262,1.0395289109271286
11:0:0,0.9188850261754347,-0.8555241201601049,1.0073597846706137
12:0:0,0.8898430917117155,-0.7305528797993679,0.9419330604976632
13:0:0,0.8431815630077109,-0.6495897400107888,0.7403861192401425
14:0:0,0.7331346159396289,-0.41627154564818414,0.5871341894724673
15:0:0,0.6451534023241678,-0.3147744921305148,0.34805368273749143
16:0:0,0.522146566032411,-0.12041252282073828,0.14526857473402285
17:0:0,0.3687841748419012,0.08405362465361547,-0.14060940016063395
18:0:0,0.2833414357327585,0.2778765260661271,-0.33478603762915027
19:0:0,0.10205442679080434,0.47883744712323256,-0.527322040183161
20:0:0,-0.01669742826083373,0.6559554867981838,-0.714685656678381
21:0:0,-0.13614150373758863,0.8305551791159074,-0.9111076310253597
22:0:0,-0.2568843279477059,0.9268837577749139,-0.9990726192235339
23:0:0,-0.393514775233619,1.0101894380492547,-1.006719031924766
