2011/4/11
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.1690253472220885,0.5283005304742461,-0.16181504911086914
1:0:0,-0.19907030691248156,0.09401567194122475,-0.4388579747808058
2:0:0,-0.49243945594200855,-0.4495547155190054,-0.7081976308919878
3:0:0,-0.7510557908560579,-0.818940186948373,-0.8980953594643752
4:0:0,-0.9788040005222493,-0.9616614064797974,-1.0224449006777043
5:0:0,-1.0328441030356723,-0.9253730199357051,-0.9299213852063385
6:0:0,-0.9846628622816738,-0.635528827331191,-0.8705265948330717
7:0:0,-0.8110361018964122,-0.22334796618006086,-0.6658974482503475
8:0:0,-0.6014490095117585,0.29997667581264387,-0.28876853336655994
9:0:0,-0.2873083329627714,0.7376377902473483,0.02951312630224161
10:0:0,0.04078496549215886,0.9370928086599061,0.29313188035053217
11:0:0,0.41952617187794194,0.9577848321040252,0.6253116418845776
12:0:0,0.6701299217473834,0.7635590247378605,0.833177543834788
13:0:0,0.9163294850609315,0.3632055767705404,1.0214776541583381
14:0:0,0.9484966177994814,-0.133532825109722,1.0406715594463714
15:0:0,0.9570057022458368,-0.6363811194563078,0.8798759809374684
16:0:0,0.9043514474340509,-0.8971897184854013,0.7089420684884491
17:0:0,0.7187918574572125,-1.03118401409244,0.44663444563018795
18:0:0,0.44439772398041116,-0.7951068965093127,0.16474166341624125
19:0:0,0.127605958049826,-0.43758548581426004,-0.22791379384260854
20:0:0,-0.1911344324588517,0.015835481823771525,-0.4775483317124826
21:0:0,-0.5553365049385736,0.493519665733962,-0.7108741254351238
22:0:0,-0.8184494166592429,0.8721570378461674,-0.9442597556003498
23:0:0,-0.9803451038346278,1.0139629564914014,-0.9718222282419104
