2011/4/5
hh:mm:ss,mode0,mode1,mod2
0:0:0,-0.8736856120252116,0.9973094431098647,0.24396258738303825
1:0:0,-0.625713282094835,0.9692391687450131,0.47265929274591345
2:0:0,-0.31575246237240284,1.0183656623398711,0.65288070999755
3:0:0,0.04892437417306661,0.9322391158160658,0.7864925885059642
4:0:0,0.35171382151737,0.9634307523234178,0.866278014027395
5:0:0,0.6458638783895287,0.8093020816451624,0.9880648330376819
6:0:0,0.8274173906130802,0.7996071952514048,1.0109031032196298
7:0:0,0.9681473934822697,0.6778889937948784,0.9539504692012836
8:0:0,0.979623139207396,0.4968372817600019,0.9086183803418761
9:0:0,0.9095044504759326,0.31957717875341674,0.8611847717062007
10:0:0,0.7252388450272417,0.19490023337011494,0.7235600400206431
11:0:0,0.43340619544179765,-0.002485216685581503,0.6229125079927156
12:0:0,0.12972255508501798,-0.09640526716047779,0.46297107255625053
13:0:0,-0.22996274527624322,-0.32447705115475284,0.20905656605329573
14:0:0,-0.4610288659875549,-0.4379684502215974,0.0177314751976657
15:0:0,-0.798178025456479,-0.624639494044805,-0.10144253485448956
16:0:0,-0.8940168760038307,-0.7677122061280982,-0.3716822675687556
17:0:0,-1.0182294286379676,-0.8771518181603906,-0.4716356291406483
18:0:0,-0.996741053740228,-0.8770881286870498,-0.6716595200512386
19:0:0,-0.800707388476306,-1.0104247592304902,-0.7671022122319525
20:0:0,-0.6183705101967094,-1.0179708992460466,-0.895360072635026
21:0:0,-0.2745717572550584,-1.017299062640726,-0.9310561212275124
22:0:0,0.003533026089434975,-0.9737604516044553,-1.028033406593692
23:0:0,0.34584370107503964,-0.8841644412686912,-0.9540278772052255
