2011/4/2
hh:mm:ss,mode0,mode1,mod2
0:0:0,0.8999081788788418,0.9475805364937221,-0.7314594598013707
1:0:0,0.8864171853365008,0.9610938747541303,-0.8419571660300829
2:0:0,0.7803617926891182,0.8765186013195506,-0.9736380883242106
3:0:0,0.6592092814756073,0.7085935716811471,-0.9970065842470617
4:0:0,0.5876073116229231,0.6276509915155238,-0.9795919990896964
5:0:0,0.5046400678479113,0.4249272447371726,-1.0067213614045825
6:0:0,0.35923027859722007,0.23410103090334233,-0.8415474231239817
7:0:0,0.29676534289576606,0.06394672735240847,-0.7529513682823539
8:0:0,0.10138649138830497,-0.16811998661545358,-0.5957724757975481
9:0:0,-0.015960744689116194,-0.33708318859289577,-0.46099692758529015
10:0:0,-0.07985676116907017,-0.5659982583339361,-0.3260003113793553
11:0:0,-0.24544388482788207,-0.6956929632932701,-0.0900335754718217
12:0:0,-0.35283850367758696,-0.8757180997410163,0.10061929420818874
13:0:0,-0.43965101048694266,-0.9316773975468958,0.33798174272710907
14:0:0,-0.595541705093072,-0.9481604340283117,0.47194286133303337
15:0:0,-0.6829599824838961,-0.9528195168776472,0.6334592509937379
16:0:0,-0.7469910367407686,-1.019946814883376,0.753921297940092
17:0:0,-0.8631309500906452,-0.8879164566534842,0.8606501419234743
18:0:0,-0.9198123166583249,-0.7809010756555789,1.007553298491759
19:0:0,-0.9020889606336767,-0.7161941919885236,1.0427968530725482
20:0:0,-1.0160626169851275,-0.5583749308350322,0.9833486482899741
21:0:0,-1.0251183636900127,-0.3887389416637343,0.9090763080432723
22:0:0,-0.9727041879212104,-0.13432950221318085,0.8450454331956985
23:0:0,-0.9723989439201769,0.03598897449511698,0.7765015336932488
